Continente,CountryName,Portge_voto_pgob,Portge_voto_gob,Diferencia_voto,Portge_voto_pganador,Prtdo_ganador,Date_elec,wave,StringencyIndex,EconomicSupportIndex,Crecimiento,Muertes_Cov_19,Inflacion_2020,Inflacion_2021,Tipo_elec,Tipo,Exces_mor,Date_elec,bed_1000
0,Albania,48.34,48.68 ,0.34,48.68 ,0,25/04/2021,1,54.63,50,-3.398708468,2378,1.620886617,2.041471631,0,0,39.88,25/04/2021,2.89
1,Angola,61.08,51.17,-9.91,51.17,0,24/08/2022,2,28.23,25,-8.396241194,1917,25.01,27,1,1,10.2,24/08/2022,10.7
2,Argentina,46.61,34.56,-12.05,42.75,1,14/11/2021,1,40.31,21,-10.76510773,116232,36.1,50.9,2,1,17.6,14/11/2021,5
3,Armenia,73.43,53.92,-19.51,53.92,0,20/06/2021,1,45,4,-7.572060526,4498,1.211435778,7.184836294,0,0,21.21,20/06/2021,4.2
4,Australia,51.53,35.7,-15.83,32.58,1,21/05/2022,2,22.22,0,-1.254598269,8097,0.846905537,2.863910422,0,0,12.67,21/05/2022,3.84
0,Austria,53.79,56.69,2.9,56.69,0,09/10/2022,2,35.19,100,-7.124479726,20824,1.381910634,2.766666667,0,0,21.24,09/10/2022,7.37
5,Barbados,72.83 ,69.03 ,-3.8,69.03 ,0,19/01/2022,2,64.81,50,-19.07818762,271,2.9,,0,0,18.55,19/01/2022,5.8
1,Benin,65.37 ,86.30 ,20.93,86.30 ,0,11/04/2021,1,39.81,100,1.090098527,93,3.022721197,,1,1,10.05,11/04/2021,0.5
1,Benin,56.22,37.56,-18.66,37.56,0,08/06/2023,3,70,100,1.090098527,,3.022721197,,1,1,10.2,08/06/2023,0.5
2,Bolivia,47.08 ,55.11 ,8.03,55.11 ,0,18/10/2020,0,81.48,25,-10.07858035,8481,0.940742153,0.737383721,1,1,13.69,18/10/2020,1.1
2,Brasil,55.13,43.2,-11.93,48.03,1,30/10/2022,2,22.59,0,-4.740553195,687962,3.211768038,8.301659756,1,1,8.04,30/10/2022,2.2
0,Bulgaria,25.8,23.21,-2.59,23.78,1,11/07/2021,1,48.15,62.5,-3.811515942,18142,1.672440969,3.297744353,0,0,12.11,11/07/2021,7.454
0,Bulgaria,23.78,9.39,-14.39,25.32,1,14/11/2021,1,50,87.5,-3.811515942,26279,1.672440969,3.297744353,0,0,96.95,14/11/2021,7.454
0,Bulgaria,25.32,20.2,-5.12,25.33,1,02/10/2022,2,65,0,-3.811515942,37718,1.672440969,3.297744353,0,0,96.95,02/10/2022,7.454
0,Bulgaria,25.33,26.49,1.16,26.49,0,02/04/2023,3,80,0,-3.811515942,38216,1.672440969,3.297744353,0,0,-6,02/04/2023,7.454
1,Burkina Faso,53.49 ,57.87 ,4.38,57.87 ,0,22/11/2020,0,22.22,0,-0.907160523,68,1.884700665,3.653267618,1,1,8.11,22/11/2020,0.4
5,Canada,33.12,32.62,-0.5,33.74,0,20/09/2021,1,70.83,37.5,-6.259992165,27583,0.716999632,3.395193185,0,0,11.37,20/09/2021,2.5
1,Cape Verde,74.08,42.37,-31.71,51.73,0,17/10/2021,1,54.63,50,-15.71099847,347,0.605795758,,0,0,16.5,17/10/2021,2.1
1,Cape Verde,54.48,50.02,-4.46,50.02,0,18/04/2021,1,59.26,75,-15.71099847,192,0.605795758,,0,0,16.5,18/04/2021,2.1
1,Chad,59.92,79.32,19.4,79.32,0,11/04/2021,1,13.89,25,-3.835675153,167,4.464144372,,1,1,10.5,11/04/2021,2.8
2,Chile,36.64,27.91,-8.73,25.83,1,19/12/2021,1,41.2,0,-6.580755715,38864,3.045490848,4.524568383,1,1,20.74,19/12/2021,2.11
2,Colombia,39.34,23.94,-15.4,40.34,1,19/06/2022,2,59.26,12.5,-7.791201023,140365,2.525,,1,1,113.48,19/06/2022,1.71
2,Colombia,16.41,11.47,-4.94,16.95,1,13/03/2022,2,39.45,25,-7.791201023,139297,2.524620535,3.495145631,2,1,6.22,13/03/2022,1.71
