CountryName,year,StringencyIndex,Camas_hosp,Cred_pob,Robustez_ins,densidad_pob,pob_65mayor,P10lees,Prime_risk,CDS,Defaul_spred,exs_morta,edu_terciaria,Crecimiento2,Continente,Decesos,muertes,infections,Contagios,Pib_per_prctg,Pob_extrem
Albania,2019,0,2.89,29,0.5519,104.1675547,15.35055266,30.71,,,,,,2.523893723,0,,,0,0,,
Albania,2020,66.22225092,2.89,29,0.5511,103.5711314,15.82211268,35.04105701,6.61,410,1.5,54.6,0.12,-3.398708468,0,1170,1084,58316,58316,-2.925820957,1.8
Albania,2021,54.63,2.89,29,0.553,104.871,16.23424096,32.8755285,3.78,370,1.2,39.88,0.13,9.554875334,0,3212,5305,210224,210224,9.554875334,1.9
Albania,2022,51.39046296,2.89,29,0.5109,104.871,16.23424096,33.95829276,6.29,330,1,-22.05,0.13,3.5,0,3596,2790,276221,276221,3.5,2
Angola,2019,0,10.7,10.4,0.1059,23.89,2.405,86.0348163,,,,,,-3.868559124,1,,,0,0,,
Angola,2020,65.74,10.7,10.4,0.1526,23.89,2.405,87.36799095,9.56,750,10.4,17,0.02,-8.39,1,405,1572,17553,17553,-8.493086121,40
Angola,2021,71.51,10.7,10.4,0.1654,23.89,2.405,86.70140362,6.29,900,12.1,22,0.02,-2.46740355,1,1757,2298,81593,81593,-2.46740355,41
Angola,2022,28.23,10.7,10.4,0.185,23.89,2.405,87.03469728,9.09,1050,13.8,10.2,0.03,2.5,1,1930,5085,105095,105095,3.8,42
Argentina,2019,0,5,33.4,0.4029,16.177,11.198,22.06729869,,,,,,-2.994387889,2,,,0,0,,2
Argentina,2020,79.17,5,33.4,0.4364,16.177,11.198,27.02765421,17.63,1500,7.7,17.97,0.25,-10.76,2,48271,127473,1625514,1625514,-10.76510773,2.1
Argentina,2021,40.31,5,33.4,0.4147,16.177,11.198,24.54747645,10.07,1800,12.3,17.6,0.28,9.223955571,2,118176,122263,5654408,5654408,9.223955571,2.2
Argentina,2022,14.38,5,33.4,0.372,16.177,11.198,25.78756533,16.78,2100,14.2,17,0.3,2,2,130124,116181,9891139,9891139,4,3.9
Armenia,2019,0,4.2,18.1,0.5501,102.931,11.3,80.66388205,,,,,,7.38219728,3,,,0,0,,
Armenia,2020,59.2,4.2,18.1,0.6235,102.931,11.7,82.75014816,5.29,450,1.4,89.69,0.2,-7.572060526,3,2823,4385,11376,11376,-7.5,2.5
Armenia,2021,45,4.2,18.1,0.6624,102.931,12.1,81.70701511,3.02,550,1.6,21.21,0.22,5.525716479,3,7972,4596,252638,252638,4.6,2.6
Armenia,2022,25.7,4.2,18.1,0.6556,102.931,12.5,82.22858163,5.29,650,1.8,-2.4,0.24,4,3,8716,5194,196510,196510,3.2,2.7
Australia,2019,0,3.84,93.2,0.9238,3.202,15.504,1.370935879,,,,,,0.571102988,4,,,0,0,,
Australia,2020,70.83,3.84,93.2,0.9318,3.202,15.504,1.431692625,2.5,45,0.8,10.2,0.5,-1.254598269,4,920,2045,28425,28425,-1.278526283,0.1
Australia,2021,47.16,3.84,93.2,0.9317,3.202,15.504,1.401314252,2.7,40,0.9,6.8,0.53,1.293854563,4,2429,5309,425496,425496,1.293854563,0.1
Australia,2022,22.22,3.84,93.2,0.9207,3.202,15.504,1.416503438,2.9,35,1,12.67,0.55,3,4,17816,4374,11131707,11131707,2.5,0.1
Austria,2019,0,7.37,94.2,0.8798,106.749,19.202,1.197411839,,,,,,1.04090812,0,,,0,0,2.8,
Austria,2020,82.41,7.37,94.2,0.8933,106.749,19.202,1.267214919,0.58,30,0.1,14.7,0.45,-7.12,0,7380,11906,356063,356063,-7.120927967,0.2
Austria,2021,43.75,7.37,94.2,0.8926,106.749,19.202,1.232313379,1,25,0.2,11.2,0.48,4.024153735,0,16684,18169,1270811,1270811,4.024153735,0.2
Austria,2022,35.19,7.37,94.2,0.9143,106.749,19.202,1.249764149,1.5,20,0.3,21.24,0.5,2.5,0,21508,16762,5705093,5705093,2.8,0.2
Barbados,2019,0,5.8,78.3,0.5852,651.5813953,14.62401782,,,,,,,-0.74220746,5,,,0,0,,
Barbados,2020,45.27762295,5.8,78.3,0.6052,652.7744186,15.15623831,16.18,11.02,250,0.5,7.97,0.25,-19.07818762,5,7,18,383,383,-14.08611503,0.5
Barbados,2021,64.53731507,5.8,78.3,0.5839,664.463,15.71553292,15.7,6.29,300,0.7,40.23,0.28,1.281227495,5,260,18,28565,28565,1.281227495,0.6
Barbados,2022,64.81,5.8,78.3,0.6688,664.463,15.71553292,14.6,10.48,350,0.9,18.55,0.3,3,5,568,18,80846,80846,5.2,0.7
Benin,2019,0,0.5,10.4,0.3632,108.9964881,3.090360283,,,,,,,4.003089135,1,,,0,0,,
Benin,2020,37.83986339,0.5,10.4,0.3392,112.1241841,3.088861035,94.42877835,8.09,500,1,3.9,0.03,1.090098527,1,44,2420,3251,3251,1.090098527,60
Benin,2021,39.81,0.5,10.4,0.3178,99.11,3.076384783,93.85,3.78,600,1.2,10.05,0.04,3.79324564,1,161,2779,24935,24935,3.79324564,61
Benin,2022,46.96851064,0.5,10.4,0.3674,99.11,3.076384783,94.13938917,6.29,700,1.4,6.7,0.04,2,1,163,3415,26952,26952,3.8,62
Bolivia,2019,0,1.1,16.7,0.2456,10.87170221,6.7,29.98923133,,,,,,0.796515958,2,,,0,0,,
Bolivia,2020,81.48,1.1,16.7,0.2465,11.01833472,6.7,31.8739785,6.61,350,1.5,13.69,0.09,-10.07858035,2,9135,19967,160124,160124,-9.988226181,30
Bolivia,2021,33.06345205,1.1,16.7,0.2522,10.202,6.7,30.93160491,4.62,400,1.7,7.89,0.1,4.671919932,2,19650,21036,599753,599753,4.671919932,31
Bolivia,2022,34.08892473,1.1,16.7,0.2345,10.202,6.7,31.40279171,7.69,450,1.9,45,0.11,4,2,22291,22583,909372,909372,4.2,32
Brasil,2019,0,2.2,40.1,0.3943,25.04,8.552,39.75958839,,,,,,0.462903687,2,,,0,0,,
Brasil,2020,64.35,2.2,40.1,0.394,25.04,8.552,34.41106847,4.41,150,3.53,23.94,0.2,-4.740553195,2,192681,664499,7681032,7681032,-4.561462507,20
Brasil,2021,61.57,2.2,40.1,0.4226,25.04,8.552,37.08532843,2.52,200,2.48,15.83,0.22,3.918336589,2,618817,662175,22291839,22291839,3.918336589,21
Brasil,2022,22.59,2.2,40.1,0.4223,25.04,8.552,35.74819845,4.21,250,3.53,8.04,0.24,1.5,2,693734,659659,36331281,36331281,2.5,22
Bulgaria,2019,0,7.454,34.6,0.6354,64.25719418,22.26512605,13.65727494,,,,,,4.772502064,0,,,0,0,,
Bulgaria,2020,40.3518306,7.454,34.6,0.6279,63.87265107,22.42111107,14.14121975,2.23,125,2.8,15.9,0.15,-3.811515942,0,7515,33021,202266,202266,-3.811515942,1
Bulgaria,2021,50,7.454,34.6,0.6409,65.18,22.42111107,13.89924735,1.34,150,1.32,12.11,0.16,4.704718077,0,30890,35158,748184,748184,4.704718077,1.1
Bulgaria,2022,41.59638298,7.454,34.6,0.6177,65.18,22.42111107,14.02023355,2.23,175,1.92,18.2,0.17,2,0,38106,37204,1165356,1165356,2.1,1.2
Burkina Faso,2019,0,0.4,16.6,0.3805,76.57762792,2.565269476,92.87156883,,,,,,2.724072125,1,,,0,0,,
Burkina Faso,2020,22.22,0.4,16.6,0.3841,78.66456871,2.561413742,90.67374745,2.8,750,2.23,8.11,0.01,-0.907160523,1,85,1033,6707,6707,-0.907160523,80
Burkina Faso,2021,18.76013699,0.4,16.6,0.3627,70.151,2.547206289,91.77265814,4.62,800,4.55,13.6,0.01,3.953244476,1,318,1129,17632,17632,3.953244476,81
Burkina Faso,2022,12.60351852,0.4,16.6,0.3795,70.151,2.547206289,91.2232028,10.48,850,8.99,14.9,0.01,2.5,1,395,1223,20899,20899,3.4,82
Canada,2019,0,2.5,93.5,0.934,4.193949311,17.5606627,1.249204357,,,,,,0.426917853,5,,,0,0,,
Canada,2020,48.92825137,2.5,93.5,0.9314,4.242576785,18.0184266,1.248883892,1.5,25,0.8,1.3,0.6,-6.31922237,5,15274,38222,590249,590249,-6.31922237,0.1
Canada,2021,70.83,2.5,93.5,0.9334,4.037,18.52128365,1.249044124,1.7,30,0.9,11.37,0.63,3.991761062,5,29958,39218,2256747,2256747,3.991761062,0.1
Canada,2022,40.5411828,2.5,93.5,0.9228,4.037,18.52128365,1.248964008,1.9,35,1,3.2,0.65,2.5,5,49457,40258,3889378,3889378,3.3,0.1
Cape Verde,2019,0,2.1,26.34,0.5443,143.1836228,5.30153952,,,,,,,4.481830156,1,,,0,0,,
Cape Verde,2020,58.25950685,2.1,26.34,0.6033,144.5756824,5.368409309,40,6.46,300,8.09,2.5,0.15,-15.71099847,1,112,15,11840,11840,-15.71099847,10
Cape Verde,2021,54.63,2.1,26.34,0.6097,135.58,5.440659948,38,5.46,350,5.37,16.5,0.17,5.826966039,1,352,15,42463,42463,5.826966039,11
Cape Verde,2022,57.06304348,2.1,26.34,0.6535,135.58,5.440659948,36,9.09,400,7.8,2.7,0.18,3,1,412,15,56384,56384,5.6,12
Chad,2019,0,2.8,1.1,0.091,11.833,2.4,,,,,,,0.209664512,1,,,0,0,,
Chad,2020,61.11,2.8,1.1,0.1055,11.833,2.4,80,"6,5",1000,2.5,3,0.02,-3.835675153,1,105,1265,2113,2113,-4.46934426,85
Chad,2021,13.89,2.8,1.1,0.1113,11.833,2.4,82,7.5,1200,3,10.5,0.03,-4.056963406,1,181,1355,5703,5703,-4.056963406,86
Chad,2022,13.89,2.8,1.1,0.1103,11.833,2.4,84,8,1400,3.5,3.5,0.03,3.5,1,194,1443,7650,7650,4.6,87
Chile,2019,0,2.11,72.7,0.8083,25.60681316,12.12540643,20.40961192,,,,,,-0.414485105,2,,,0,0,,
Chile,2020,62.66969945,2.11,72.7,0.8214,25.95761178,12.3955778,20.5499954,1.03,100,0.83,,0.2,-6.785702733,2,16499,57098,608973,608973,-6.785702733,2
Chile,2021,41.2,2.11,72.7,0.8175,24.282,12.68114248,20.47980366,0.59,125,0.58,20.74,0.22,11.10935355,2,39096,56257,1808398,1808398,11.10935355,2.1
Chile,2022,31.6228972,2.11,72.7,0.8128,24.282,12.68114248,20.51489953,1.03,150,0.83,,0.24,2.5,2,63149,55391,3710521,3710521,3.7,2.2
Colombia,2019,0,1.71,47.5,0.5123,45.23425507,8.204019269,51.84074641,,,,,,1.796283366,2,,,0,0,,
Colombia,2020,63.19469945,1.71,47.5,0.5088,45.90415683,8.472310762,60.74421118,2.8,150,2.23,14.2,0.1,-8.040898507,2,42620,137597,1642775,1642775,-8.040898507,15
Colombia,2021,61.58934247,1.71,47.5,0.5211,44.223,8.71970649,56.29247879,1.6,175,1.57,13,0.11,9.73738238,2,129866,136500,5169855,5169855,9.73738238,16
Colombia,2022,52.78,1.71,47.5,0.4722,44.223,8.71970649,58.51834499,2.63,200,2.28,113.48,0.12,3,2,142179,135381,6103455,6103455,3.9,17
Costa Rica,2019,0,1.13,59.3,0.7436,99.57955347,9.885492892,27.16227989,,,,,,1.441173774,2,,,0,0,,
Costa Rica,2020,54.38663934,1.13,59.3,0.726,100.334998,10.21832463,34.8877953,8.09,250,6.46,12.7,0.2,-4.927747219,2,2156,8012,169321,169321,-4.927747219,2
Costa Rica,2021,49.4237931,1.13,59.3,0.7338,96.079,10.5302877,31.0250376,4.55,350,4.62,11.5,0.22,6.638824255,2,7354,9005,570556,570556,6.638824255,2.1
Costa Rica,2022,44.44,1.13,59.3,0.7594,96.079,10.5302877,32.95641645,6.6,400,7.69,-1.2,0.24,3.5,2,9085,10001,904934,904934,4.1,2.2
Croatia,2019,0,5.54,52.1,0.6022,72.64050104,21.10572513,6.055915451,,,,,,4.056979224,0,,,0,0,,
Croatia,2020,54.63,5.54,52.1,0.6337,72.33166548,21.570897,6.705492685,4.41,200,3.53,4.25,0.2,-7.700776427,0,3860,10839,210837,210837,-7.700776427,0.5
Croatia,2021,42.89994505,5.54,52.1,0.6365,73.726,21.97091698,6.380704068,2.6,250,2.1,10.8,0.22,14.66060324,0,12493,11165,720538,720538,14.66060324,0.6
Croatia,2022,37.15709677,5.54,52.1,0.6318,73.726,21.97091698,6.543098377,3,300,3.5,9.7,0.24,2.5,0,17583,11489,1137192,1137192,2.7,0.7
Czech Republic,2019,0,6.63,74.3,0.8183,138.2268103,19.82028156,1.072447662,,,,,,2.624557435,0,,,0,0,,
Czech Republic,2020,44.77726776,6.63,74.3,0.806,138.5759288,20.16489295,0.990764409,0.84,150,0.72,8.4,0.3,-6.026656549,0,11889,35052,718661,718661,-6.026656549,0.2
Czech Republic,2021,40.74,6.63,74.3,0.8024,137.176,20.45258804,1.031606035,2.1,200,2.6,-2.17,0.33,3.288700409,0,36332,36260,2480736,2480736,3.288700409,0.2
Czech Republic,2022,43.8536,6.63,74.3,0.8092,137.176,20.45258804,1.011185222,0.71,250,0.89,12.2,0.35,3,0,42149,37445,3920550,3920550,2.6,0.3
Denmark,2019,0,2.5,87.1,0.961,136.52,19.677,0.54157809,,,,,,1.749614095,0,,,0,0,,
Denmark,2020,51.85,2.5,87.1,0.9616,136.52,19.677,0.776381656,1.5,50,0.9,6.7,0.35,-2.347336032,0,1256,3449,163479,163479,3.2,0.1
Denmark,2021,31.5,2.5,87.1,0.9719,136.52,19.677,0.658979873,1.75,75,0.8,8.6,0.38,4.240658413,0,3256,3603,802397,802397,3.7,0.1
Denmark,2022,11.11,2.5,87.1,0.9694,136.52,19.677,0.717680764,2,100,0.7,6.68,0.4,2.5,0,7782,3754,3385836,3385836,3.2,0.1
Dominican Republic,2019,0,1.6,43.2,0.4728,225.2511281,6.760222783,40.48485469,,,,,,3.958404175,5,,,0,0,,
Dominican Republic,2020,75,1.6,43.2,0.4629,227.6891741,6.964985793,46.2622304,5.29,400,4.22,34.27,0.12,-7.657060908,5,2409,4712,170785,170785,-7.657060908,9
Dominican Republic,2021,60.69613699,1.6,43.2,0.4948,222.873,7.168119875,43.37354255,3.02,500,2.97,15,0.14,11.18747229,5,4246,5080,419927,419927,11.18747229,10
Dominican Republic,2022,22.52770833,1.6,43.2,0.5191,222.873,7.168119875,44.81788648,5.03,600,4.31,16.9,0.15,2,5,4384,5445,584029,584029,4.4,11
Ecuador,2019,0,1.5,35.3,0.2949,69.83306491,7.409863518,47.00950984,,,,,,-1.653249634,2,,,0,0,,
Ecuador,2020,58.91112022,1.5,35.3,0.3432,70.81895233,7.544158372,54.48448855,14.69,450,11.73,10.9,0.1,-9.195656221,2,14023,35475,212512,212512,-8.1,10
Ecuador,2021,65.28,1.5,35.3,0.3622,66.939,7.642072697,50.74699919,8.39,550,8.26,96.37,0.12,2.805236029,2,33669,36623,551620,551620,3.7,11
Ecuador,2022,63.3891,1.5,35.3,0.3623,66.939,7.642072697,52.61574387,13.98,650,12,14.7,0.13,3,2,35948,37758,878196,878196,4.3,12
El Salvador,2019,0,2.8,36,0.4697,307.811,8.273,50.66668338,,,,,,1.862065946,2,,,0,0,,
El Salvador,2020,47.22,2.8,36,0.4431,307.811,8.273,51.64121362,9.56,200,7.63,15.3,0.1,-9.041506281,2,1327,1875,46242,46242,-2.9,15
El Salvador,2021,46.3,2.8,36,0.468,307.811,8.273,51.1539485,5.46,250,5.37,10.5,0.12,10.25185314,2,3823,1975,121945,121945,2.7,16
